,City,Country,Date,Cloudiness,Lat,Lng,Humidity,Wind Speed,Max Temp,Min Temp
0,US,US,1572985103,90,37.46,-122.43,93,10.29,79.0,51.8
1,ID,ID,1572985288,100,-0.92,100.36,87,1.48,64.62,64.62
2,AU,AU,1572985290,0,-28.95,153.24,81,6.93,60.8,51.8
3,MX,MX,1572985291,75,18.53,-92.64,70,8.05,84.2,84.2
4,NZ,NZ,1572985292,88,-39.45,173.86,80,5.01,63.0,55.99
5,ES,ES,1572985294,75,28.68,-17.76,83,16.11,71.6,64.0
6,TO,TO,1572985295,40,-19.8,-174.35,65,11.41,77.0,77.0
7,PT,PT,1572985298,75,37.72,-25.43,67,4.7,62.6,62.6
8,GL,GL,1572985300,98,65.42,-52.9,60,1.48,33.01,33.01
9,FR,FR,1572985302,75,46.85,-1.88,87,8.05,52.0,50.0
10,MV,MV,1572985303,83,6.88,73.1,79,15.57,81.82,81.82
11,PE,PE,1572985304,0,-13.71,-76.2,30,18.34,71.6,69.01
12,KZ,KZ,1572985305,93,47.8,67.71,54,8.19,31.01,31.01
13,IN,IN,1572985307,39,23.02,71.18,55,4.03,80.67,80.67
14,ML,ML,1572985308,0,18.44,1.41,14,5.5,80.62,80.62
15,US,US,1572985032,90,30.09,-94.1,61,9.17,80.6,73.99
16,RU,RU,1572985311,100,56.57,36.46,76,16.69,50.09,50.09
17,AO,AO,1572985312,75,-8.83,13.24,88,11.41,73.4,73.4
18,MG,MG,1572985314,7,-20.58,48.53,93,5.46,72.34,72.34
19,TD,TD,1572985315,0,14.53,20.93,15,13.56,80.83,80.83
20,AF,AF,1572985317,0,37.41,66.03,35,7.92,43.0,43.0
21,US,US,1572985318,1,43.41,-124.22,82,5.82,55.4,53.01
22,CK,CK,1572985276,100,-21.21,-159.78,73,5.82,75.2,75.2
23,CR,CR,1572985321,20,10.15,-85.45,55,11.41,89.6,73.99
24,NO,NO,1572985322,75,71.03,27.85,73,8.05,33.8,26.6
25,ID,ID,1572985323,100,-2.88,108.27,74,8.1,83.37,83.37
26,RU,RU,1572985325,100,62.93,152.39,90,20.04,7.45,7.45
27,KG,KG,1572985327,0,42.52,72.24,73,0.38,21.81,21.81
28,NO,NO,1572985328,75,78.22,15.63,72,3.36,10.4,10.4
29,RU,RU,1572985330,84,71.97,114.09,96,3.89,-7.5,-7.5
30,PE,PE,1572985331,100,-12.12,-73.0,83,2.68,80.35,80.35
31,CA,CA,1572985332,20,50.7,-127.42,76,6.93,53.6,53.6
32,BR,BR,1572985334,40,-8.26,-49.26,44,6.93,96.8,96.8
33,ES,ES,1572985336,40,29.06,-13.56,68,16.11,69.8,69.8
34,ID,ID,1572985337,57,-10.16,123.6,69,4.74,81.1,81.1
35,US,US,1572985338,1,39.95,-94.76,40,3.36,55.99,52.0
36,GB,GB,1572985339,75,52.47,1.45,87,12.75,51.01,46.99
37,US,US,1572985341,1,29.56,-104.41,25,3.36,87.8,87.8
38,GF,GF,1572985342,67,4.94,-52.33,66,14.99,87.8,87.8
39,AU,AU,1572985343,0,-28.65,153.62,77,9.17,64.4,51.8
40,CO,CO,1572985345,40,5.66,-67.63,49,9.17,93.2,93.2
41,CD,CD,1572985346,76,-6.48,16.82,87,1.12,66.87,66.87
